Phase;T;RH;R;FF;RMM1;RMM2;RMM;Angle;Angle (+);PhaseManual
4;27.1;80;;6;0.81158602;-6.65E-02;0.814305912;94.68425578;94.68425578;3
4;27.3;84;26;8;0.70508802;-2.97E-02;0.70571326;92.41200991;92.41200991;3
5;26.6;83;62;5;0.66273302;3.72E-02;0.663776239;86.78729039;86.78729039;2
5;27.1;81;1;7;0.61483997;0.21363001;0.650896282;70.83989565;70.83989565;2
5;27.5;78;1;5;0.70287699;0.490769;0.857257414;55.07614306;55.07614306;2
5;27.1;85;;5;0.75870401;0.60417497;0.969875852;51.4688136;51.4688136;2
5;27.2;82;;4;0.67490202;0.37900099;0.774037781;60.68298144;60.68298144;2
5;26.3;83;2;9;0.764337;0.197338;0.789400618;75.52339894;75.52339894;2
5;27.3;80;7;6;0.79588002;0.209051;0.822877468;75.28277299;75.28277299;2
5;26.6;82;4;7;0.93735802;0.25680801;0.971900412;74.67862675;74.67862675;2
5;27.2;82;2;6;0.91751301;0.25690401;0.952801025;74.35773228;74.35773228;2
5;26.1;87;17;4;0.62212801;6.02E-02;0.62503384;84.4730015;84.4730015;2
4;26.2;87;51;4;0.46970299;-0.16064;0.496413244;108.8808602;108.8808602;3
4;27;82;;4;0.33245999;-0.2086;0.392483891;122.1059658;122.1059658;3
3;26.9;82;;4;1.69E-02;-0.44205999;0.442382916;177.8106425;177.8106425;4
2;26.7;84;1;4;-0.21734001;-0.95670003;0.981076769;-167.2009627;192.7990373;5
2;25.3;91;13;5;-0.17184;-1.20886;1.221012484;-171.9095819;188.0904181;5
2;27.7;77;2;6;-8.66E-02;-1.07414;1.077625306;-175.3906329;184.6093671;5
3;27.1;81;;6;9.64E-02;-0.61123002;0.618785179;171.0374344;171.0374344;4
4;26.7;86;;4;0.50621098;-0.35878;0.620461638;125.327331;125.327331;3
4;27.7;77;1;9;0.53283799;-0.21610001;0.574991772;112.0757128;112.0757128;3
4;26.3;83;3;9;0.47165;-0.33113;0.576281875;125.0714346;125.0714346;3
4;25.9;86;21;6;0.68461001;-0.54715002;0.876392612;128.6323436;128.6323436;3
4;26.9;82;7;5;0.84736502;-0.60159999;1.03920644;125.3734403;125.3734403;3
4;26;88;1;5;0.81304801;-0.30063999;0.866851469;110.2928337;110.2928337;3
4;25.4;88;9;6;0.66526198;-8.44E-02;0.670594409;97.23033521;97.23033521;3
5;26;82;39;6;0.62538201;0.14944901;0.642991186;76.55995279;76.55995279;2
5;26.7;79;8;4;0.82194197;2.30E-02;0.822263706;88.39713851;88.39713851;2
4;25.9;84;1;2;0.96720999;-5.67E-02;0.968870505;93.35496631;93.35496631;3
5;26.7;76;3;4;0.87656897;0.1141;0.883963783;82.58370139;82.58370139;2
6;26.1;82;;6;0.51901698;0.70504099;0.875477826;36.35869813;36.35869813;1
6;27.3;79;0.5;6;0.233045;0.901784;0.931409875;14.48974453;14.48974453;1
7;27.4;79;;5;-0.24327999;0.76915997;0.806716935;-17.55180352;342.4481965;8
7;26.8;84;;4;-0.39820999;0.81482899;0.906927494;-26.04493368;333.9550663;8
7;27.5;80;;4;-0.14779;1.11489;1.124642875;-7.551113353;352.4488866;8
6;27;83;4.8;4;1.97E-02;1.05255;1.052734341;1.072248429;1.072248429;1
7;25.5;86;11.2;6;-8.09E-02;0.84811097;0.851960696;-5.44886978;354.5511302;8
7;27.1;81;11.8;7;-0.32124001;0.74163401;0.808217884;-23.41992919;336.5800708;8
7;26.9;82;;7;-0.49851999;0.82187098;0.961246112;-31.23962688;328.7603731;8
7;26.4;83;;8;-0.51025999;0.70109302;0.867119761;-36.04736761;323.9526324;8
7;25.4;89;3.3;8;-0.52833003;0.83353198;0.986867865;-32.36835995;327.63164;8
7;27;81;16.5;7;-0.72166997;0.77766103;1.060926116;-42.86133857;317.1386614;8
7;25.5;84;30.2;6;-0.52811998;1.05293;1.177952587;-26.63705121;333.3629488;8
7;26.6;81;14.3;7;-0.44819;0.993433;1.089854762;-24.28264552;335.7173545;8
7;27;80;0.7;7;-0.32365;0.78509903;0.849193623;-22.40346401;337.596536;8
7;26.3;80;;7;-0.36265001;0.60715801;0.707216996;-30.84949164;329.1505084;8
7;26.1;80;;7;-0.36781001;0.43925601;0.572913646;-39.9410448;320.0589552;8
8;27;76;;6;-0.29955;0.26092499;0.397255652;-48.94229289;311.0577071;7
7;27.5;81;;5;-0.12333;0.33980399;0.361492795;-19.94808907;340.0519109;8
5;26.7;81;2;4;8.95E-02;8.24E-02;0.121655292;47.36514802;47.36514802;2
5;27.4;79;;3;7.16E-02;6.91E-02;0.099505628;46.01794156;46.01794156;2
5;27.2;81;;3;0.281596;0.24561401;0.373661008;48.9043721;48.9043721;2
6;27.3;81;;4;0.44250599;0.446033;0.628296895;44.77256853;44.77256853;1
6;26.8;82;7.5;4;0.41584301;0.58643901;0.718913153;35.34039553;35.34039553;1
