Date;T;RH;R;FF
01/01/1980;27.1;80;;6
02/01/1980;27.3;84;26;8
03/01/1980;26.6;83;62;5
04/01/1980;27.1;81;1;7
05/01/1980;27.5;78;1;5
06/01/1980;27.1;85;;5
07/01/1980;27.2;82;;4
08/01/1980;26.3;83;2;9
09/01/1980;27.3;80;7;6
10/01/1980;26.6;82;4;7
11/01/1980;27.2;82;2;6
12/01/1980;26.1;87;17;4
13/01/1980;26.2;87;51;4
14/01/1980;27;82;;4
15/01/1980;26.9;82;;4
16/01/1980;26.7;84;1;4
17/01/1980;25.3;91;13;5
18/01/1980;27.7;77;2;6
19/01/1980;27.1;81;;6
20/01/1980;26.7;86;;4
21/01/1980;27.7;77;1;9
22/01/1980;26.3;83;3;9
23/01/1980;25.9;86;21;6
24/01/1980;26.9;82;7;5
25/01/1980;26;88;1;5
26/01/1980;25.4;88;9;6
27/01/1980;26;82;39;6
28/01/1980;26.7;79;8;4
29/01/1980;25.9;84;1;2
30/01/1980;26.7;76;3;4
31/01/1980;26.1;82;;6
01/02/1980;27.3;79;0.5;6
02/02/1980;27.4;79;;5
03/02/1980;26.8;84;;4
04/02/1980;27.5;80;;4
05/02/1980;27;83;4.8;4
06/02/1980;25.5;86;11.2;6
07/02/1980;27.1;81;11.8;7
08/02/1980;26.9;82;;7
09/02/1980;26.4;83;;8
10/02/1980;25.4;89;3.3;8
11/02/1980;27;81;16.5;7
12/02/1980;25.5;84;30.2;6
13/02/1980;26.6;81;14.3;7
14/02/1980;27;80;0.7;7
15/02/1980;26.3;80;;7
16/02/1980;26.1;80;;7
17/02/1980;27;76;;6
18/02/1980;27.5;81;;5
19/02/1980;26.7;81;2;4
20/02/1980;27.4;79;;3
21/02/1980;27.2;81;;3
22/02/1980;27.3;81;;4
23/02/1980;26.8;82;7.5;4
24/02/1980;27.3;82;;3
25/02/1980;27.8;82;0.4;3
26/02/1980;27.7;78;;2
27/02/1980;27.6;84;1.8;3
28/02/1980;26.1;85;65;4
29/02/1980;26.3;80;0.1;3
01/03/1980;27;84;26.3;3
02/03/1980;27.7;80;1.8;2
03/03/1980;27.5;80;;3
04/03/1980;27.4;82;2.5;3
05/03/1980;27.3;80;3.6;2
06/03/1980;27.8;77;;4
07/03/1980;27.2;82;5.3;3
08/03/1980;27.8;76;;3
09/03/1980;27;80;;0
10/03/1980;26.7;82;;2
11/03/1980;26;78;;4
12/03/1980;27.2;80;;4
13/03/1980;27.2;79;;3
14/03/1980;26.5;77;;3
15/03/1980;26.8;78;0.1;3
16/03/1980;26.5;78;;2
17/03/1980;26.5;81;1.2;3
18/03/1980;25.2;86;3;4
19/03/1980;25.5;82;47.4;2
20/03/1980;26.9;77;;2
21/03/1980;27.3;74;;3
22/03/1980;27.4;78;;4
23/03/1980;27.9;80;;4
24/03/1980;27.7;80;;5
25/03/1980;25.9;84;;0
26/03/1980;28.1;78;;2
27/03/1980;27.1;79;0.3;3
28/03/1980;27.9;76;21.3;3
29/03/1980;27.8;75;;4
30/03/1980;27;78;13.2;3
31/03/1980;27.7;74;0.2;3
01/04/1980;28;76;;4
02/04/1980;26.8;77;30.6;2
03/04/1980;26.3;81;;3
04/04/1980;27.5;77;12.5;3
05/04/1980;28.6;74;;3
06/04/1980;28.7;76;0.1;2
07/04/1980;28.5;77;;2
08/04/1980;29;76;;3
09/04/1980;26.7;86;6;2
10/04/1980;27.7;81;29.5;3
11/04/1980;26.4;85;;3
12/04/1980;28;74;1.2;3
13/04/1980;28.3;77;;3
14/04/1980;28.3;79;2.2;3
15/04/1980;26.6;85;5.5;2
16/04/1980;25.9;89;0.9;3
17/04/1980;26.3;90;3.5;2
18/04/1980;27.3;85;15.4;3
19/04/1980;27.9;81;0;3
20/04/1980;26.2;82;24.1;2
21/04/1980;27.3;84;1.6;3
22/04/1980;27.3;85;14;2
23/04/1980;27.6;82;0;3
24/04/1980;28.1;80;16.4;3
25/04/1980;27.4;82;2.5;2
26/04/1980;27.1;83;0;3
27/04/1980;28;79;84;3
28/04/1980;27.9;77;1.5;3
29/04/1980;27.9;76;0;3
30/04/1980;27.9;79;1.6;4
01/05/1980;27.1;79;0.5;4
02/05/1980;28.3;76;56;3
03/05/1980;28.2;76;0;3
04/05/1980;27.1;82;0.2;3
05/05/1980;28.9;74;0.2;4
06/05/1980;27.7;80;0;3
07/05/1980;27.2;84;0;3
08/05/1980;27.4;80;2;3
09/05/1980;29;72;1;3
10/05/1980;27.8;69;0;4
11/05/1980;27.9;71;0;4
12/05/1980;28.2;65;0;4
13/05/1980;29.4;64;0;4
14/05/1980;28.5;66;0;5
15/05/1980;27.9;73;0;4
16/05/1980;28.2;70;0;4
17/05/1980;27.6;74;0;4
18/05/1980;28.2;71;0;3
19/05/1980;27.7;67;0;4
20/05/1980;28.1;67;0;4
21/05/1980;27;65;0.4;4
22/05/1980;27.7;68;0;4
23/05/1980;27.9;70;0;4
24/05/1980;28;76;0;3
25/05/1980;28.7;73;0;4
26/05/1980;29;73;32.3;3
27/05/1980;28.6;77;5.5;3
28/05/1980;28.7;76;0;4
29/05/1980;27.5;82;26.8;3
30/05/1980;27.3;80;0;3
31/05/1980;27.4;84;0;1
01/06/1980;28.5;73;14.1;4
02/06/1980;28.2;74;;4
03/06/1980;27;76;0.4;3
04/06/1980;28.4;73;;3
05/06/1980;28.2;65;;4
06/06/1980;27.3;68;;3
07/06/1980;26.7;67;;2
08/06/1980;26.1;68;;2
09/06/1980;25.2;68;;2
10/06/1980;26.5;73;;3
11/06/1980;27.5;64;;4
12/06/1980;28.1;64;;3
13/06/1980;27;82;;2
14/06/1980;28;78;4.7;5
15/06/1980;27.7;74;;3
16/06/1980;27.1;69;;3
17/06/1980;27.5;71;;4
18/06/1980;26.8;81;;2
19/06/1980;27;78;28.6;4
20/06/1980;27.3;76;;4
21/06/1980;28.6;62;;5
22/06/1980;27.9;68;;4
23/06/1980;27.9;73;;3
24/06/1980;27.4;73;;3
25/06/1980;28.3;62;;3
26/06/1980;26.4;75;;3
27/06/1980;27.7;75;20.7;4
28/06/1980;27;72;2.4;4
29/06/1980;27.4;75;;4
30/06/1980;27.8;60;;3
01/07/1980;27.1;69;0;3
